EVAL6_REP1,EVAL6_REP13,EVAL11_REP1,EVAL18_REP1,EVAL20_REP1,EVAL20_REP4_short,EVAL22_REP1,EVAL24_REP1_short
0.943875,0.98,0.951375,0.945375,0.9405,0.9763888888888889,0.94775,0.965625
0.93175,0.993875,0.954125,0.9485,0.959625,0.9833333333333333,0.948625,0.971875
0.9219999999999999,0.9555,0.93,0.92225,0.9265,0.9555555555555556,0.9027499999999999,0.93125
0.944625,0.975,0.92025,0.9045,0.94475,0.9708333333333333,0.91225,0.95
0.907625,0.96325,0.927,0.9359999999999999,0.9293750000000001,0.9625,0.923625,0.934375
0.9165,0.967375,0.901625,0.878625,0.913625,0.9513888888888888,0.9135,0.9421875
0.946,0.969375,0.975375,0.939125,0.9375,0.9541666666666667,0.965,0.9578125
0.9505,0.95825,0.93025,0.95675,0.93825,0.9541666666666667,0.93775,0.9609375
0.922875,0.9675,0.92,0.911625,0.9177500000000001,0.95,0.960625,0.9625
0.941875,0.976625,0.942,0.931,0.954125,0.9680555555555556,0.9375,0.9359375
0.95225,0.989,0.946375,0.94325,0.954125,0.9694444444444444,0.957375,0.96875
0.932625,0.973625,0.930625,0.942,0.9705,0.9430555555555555,0.9259999999999999,0.9359375
0.929875,0.982625,0.916,0.9435,0.953625,0.9694444444444444,0.953375,0.9515625
0.926625,0.976625,0.9199999999999999,0.929,0.9035,0.9486111111111111,0.913125,0.9328125
0.93175,0.984875,0.927,0.940625,0.9456249999999999,0.9569444444444445,0.9470000000000001,0.9828125
0.95875,0.96575,0.944875,0.938375,0.94975,0.9472222222222222,0.9233750000000001,0.9703125
0.95575,0.989375,0.96175,0.948125,0.922875,0.9527777777777777,0.93125,0.9671875
0.9055,0.96875,0.948,0.901625,0.9157500000000001,0.9541666666666667,0.920625,0.91875
0.948125,0.983,0.954,0.953125,0.956,0.9736111111111111,0.92575,0.94375
0.929875,0.971625,0.911375,0.909875,0.9575,0.9416666666666667,0.958625,0.9375
0.958375,0.982,0.958875,0.96075,0.97675,0.975,0.95,0.94375
0.94575,0.985125,0.955375,0.952125,0.95675,0.9375,0.922875,0.95
0.924625,0.9645,0.93825,0.94225,0.9375,0.9666666666666667,0.95075,0.940625
0.89575,0.952,0.923625,0.921125,0.950125,0.9361111111111111,0.91575,0.9296875
