NUM_LOOP,FREQ,EVAL_BITS,REP_BITS,BOARD_NUM
0,52,6,131,0
1,21,6,131,0
2,80,6,131,0
3,25,6,131,0
4,20,6,131,0
5,134,6,131,0
6,15,6,131,0
7,17,6,131,0
8,20,6,131,0
9,29,6,131,0
10,27,6,131,0
11,12,6,131,0
12,21,6,131,0
13,86,6,131,0
14,14,6,131,0
15,24,6,131,0
16,70,6,131,0
17,11,6,131,0
18,26,6,131,0
19,17,6,131,0
20,12,6,131,0
21,12,6,131,0
22,16,6,131,0
23,14,6,131,0
24,36,6,131,0
25,43,6,131,0
26,35,6,131,0
27,26,6,131,0
28,28,6,131,0
29,12,6,131,0
30,32,6,131,0
31,15,6,131,0
32,11,6,131,0
33,184,6,131,0
34,231,6,131,0
35,12,6,131,0
36,18,6,131,0
37,222,6,131,0
38,83,6,131,0
39,211,6,131,0
40,14,6,131,0
41,21,6,131,0
42,49,6,131,0
43,35,6,131,0
44,26,6,131,0
45,68,6,131,0
46,47,6,131,0
47,236,6,131,0
48,135,6,131,0
49,21,6,131,0
50,16,6,131,0
51,23,6,131,0
52,35,6,131,0
53,19,6,131,0
54,22,6,131,0
55,11,6,131,0
56,187,6,131,0
57,23,6,131,0
58,75,6,131,0
59,23,6,131,0
60,26,6,131,0
61,9,6,131,0
62,14,6,131,0
63,16,6,131,0
64,20,6,131,0
65,50,6,131,0
66,87,6,131,0
67,12,6,131,0
68,15,6,131,0
69,69,6,131,0
70,28,6,131,0
71,79,6,131,0
72,34,6,131,0
73,15,6,131,0
74,186,6,131,0
75,20,6,131,0
76,90,6,131,0
77,64,6,131,0
78,39,6,131,0
79,25,6,131,0
80,43,6,131,0
81,13,6,131,0
82,15,6,131,0
83,35,6,131,0
84,59,6,131,0
85,234,6,131,0
86,91,6,131,0
87,15,6,131,0
88,23,6,131,0
89,44,6,131,0
90,70,6,131,0
91,237,6,131,0
92,64,6,131,0
93,9,6,131,0
94,9,6,131,0
95,45,6,131,0
96,30,6,131,0
97,49,6,131,0
98,35,6,131,0
99,17,6,131,0
100,23,6,131,0
101,233,6,131,0
102,9,6,131,0
103,83,6,131,0
104,17,6,131,0
105,14,6,131,0
106,66,6,131,0
107,14,6,131,0
108,114,6,131,0
109,12,6,131,0
110,25,6,131,0
111,45,6,131,0
112,24,6,131,0
113,226,6,131,0
114,17,6,131,0
115,120,6,131,0
116,221,6,131,0
117,10,6,131,0
118,12,6,131,0
119,18,6,131,0
120,25,6,131,0
121,39,6,131,0
122,18,6,131,0
123,115,6,131,0
124,12,6,131,0
125,207,6,131,0
126,15,6,131,0
127,66,6,131,0
128,40,6,131,0
129,206,6,131,0
130,43,6,131,0
131,11,6,131,0
132,17,6,131,0
133,118,6,131,0
134,7,6,131,0
135,8,6,131,0
136,151,6,131,0
137,15,6,131,0
138,42,6,131,0
139,37,6,131,0
140,42,6,131,0
141,231,6,131,0
142,13,6,131,0
143,33,6,131,0
144,16,6,131,0
145,28,6,131,0
146,16,6,131,0
147,23,6,131,0
148,11,6,131,0
149,42,6,131,0
150,21,6,131,0
151,175,6,131,0
152,29,6,131,0
153,27,6,131,0
154,14,6,131,0
155,237,6,131,0
156,151,6,131,0
157,48,6,131,0
158,47,6,131,0
159,29,6,131,0
160,44,6,131,0
161,19,6,131,0
162,17,6,131,0
163,42,6,131,0
164,54,6,131,0
165,22,6,131,0
166,22,6,131,0
167,45,6,131,0
168,97,6,131,0
169,11,6,131,0
170,69,6,131,0
171,11,6,131,0
172,36,6,131,0
173,15,6,131,0
174,62,6,131,0
175,31,6,131,0
176,10,6,131,0
177,24,6,131,0
178,15,6,131,0
179,23,6,131,0
180,32,6,131,0
181,215,6,131,0
182,21,6,131,0
183,90,6,131,0
184,30,6,131,0
185,72,6,131,0
186,13,6,131,0
