NUM_LOOP,FREQ,EVAL_BITS,REP_BITS,BOARD_NUM
0,65,6,2,0
1,20,6,2,0
2,114,6,2,0
3,29,6,2,0
4,26,6,2,0
5,235,6,2,0
6,27,6,2,0
7,40,6,2,0
8,20,6,2,0
9,28,6,2,0
10,29,6,2,0
11,12,6,2,0
12,20,6,2,0
13,81,6,2,0
14,15,6,2,0
15,25,6,2,0
16,77,6,2,0
17,13,6,2,0
18,25,6,2,0
19,18,6,2,0
20,12,6,2,0
21,15,6,2,0
22,16,6,2,0
23,17,6,2,0
24,29,6,2,0
25,42,6,2,0
26,40,6,2,0
27,26,6,2,0
28,31,6,2,0
29,13,6,2,0
30,27,6,2,0
31,14,6,2,0
32,13,6,2,0
33,208,6,2,0
34,227,6,2,0
35,15,6,2,0
36,18,6,2,0
37,225,6,2,0
38,129,6,2,0
39,145,6,2,0
40,15,6,2,0
41,20,6,2,0
42,89,6,2,0
43,41,6,2,0
44,28,6,2,0
45,64,6,2,0
46,56,6,2,0
47,236,6,2,0
48,215,6,2,0
49,20,6,2,0
50,16,6,2,0
51,27,6,2,0
52,33,6,2,0
53,20,6,2,0
54,21,6,2,0
55,13,6,2,0
56,157,6,2,0
57,26,6,2,0
58,89,6,2,0
59,24,6,2,0
60,29,6,2,0
61,11,6,2,0
62,14,6,2,0
63,17,6,2,0
64,20,6,2,0
65,44,6,2,0
66,62,6,2,0
67,13,6,2,0
68,16,6,2,0
69,66,6,2,0
70,28,6,2,0
71,149,6,2,0
72,28,6,2,0
73,14,6,2,0
74,230,6,2,0
75,18,6,2,0
76,66,6,2,0
77,55,6,2,0
78,37,6,2,0
79,22,6,2,0
80,36,6,2,0
81,17,6,2,0
82,17,6,2,0
83,35,6,2,0
84,56,6,2,0
85,228,6,2,0
86,70,6,2,0
87,17,6,2,0
88,24,6,2,0
89,34,6,2,0
90,95,6,2,0
91,113,6,2,0
92,73,6,2,0
93,11,6,2,0
94,11,6,2,0
95,45,6,2,0
96,31,6,2,0
97,63,6,2,0
